aX,aY,aZ,gX,gY,gZ
0.050,0.022,0.980,-5.249,66.956,-126.770
0.033,-0.103,0.892,-11.047,74.280,-133.606
0.021,-0.220,0.837,-17.273,75.012,-138.062
-0.024,-0.298,0.837,-23.621,69.519,-139.038
-0.072,-0.374,0.851,-27.710,60.486,-135.620
-0.110,-0.439,0.880,-29.114,51.086,-128.967
-0.152,-0.463,0.913,-29.480,42.786,-119.873
-0.196,-0.441,0.924,-29.053,36.743,-108.337
-0.216,-0.399,0.919,-27.771,34.790,-97.229
-0.204,-0.351,0.900,-26.794,35.828,-87.891
-0.162,-0.313,0.887,-26.733,38.086,-81.116
-0.110,-0.279,0.890,-27.466,39.124,-76.843
-0.071,-0.254,0.904,-28.687,38.025,-74.402
-0.039,-0.235,0.920,-28.992,36.560,-71.838
-0.023,-0.221,0.931,-27.832,34.668,-68.848
-0.013,-0.211,0.922,-25.269,33.752,-65.613
-0.008,-0.201,0.893,-21.973,34.058,-62.012
0.006,-0.199,0.852,-19.775,35.461,-58.472
0.022,-0.197,0.806,-19.592,36.804,-55.603
0.036,-0.192,0.770,-21.606,37.292,-53.101
0.063,-0.180,0.752,-24.536,36.987,-50.476
0.113,-0.183,0.742,-26.306,35.156,-47.485
0.167,-0.203,0.760,-27.039,30.640,-45.654
0.193,-0.248,0.795,-26.794,21.790,-44.678
0.193,-0.312,0.841,-24.841,12.512,-44.067
0.175,-0.368,0.881,-23.376,5.432,-42.480
0.148,-0.400,0.914,-23.193,2.686,-39.917
0.114,-0.422,0.933,-22.644,2.991,-36.316
0.089,-0.435,0.937,-20.630,4.639,-31.494
0.079,-0.426,0.932,-17.944,5.859,-25.452
0.084,-0.399,0.923,-15.015,5.188,-18.921
0.090,-0.370,0.912,-11.353,2.686,-12.512
0.099,-0.339,0.904,-7.935,0.183,-6.897
0.115,-0.313,0.903,-4.944,-2.441,-2.258
0.137,-0.276,0.917,-2.625,-5.798,1.831
0.163,-0.239,0.939,-0.854,-8.972,5.188
0.184,-0.212,0.964,0.854,-11.230,7.629
0.201,-0.191,0.985,2.380,-12.207,9.521
0.209,-0.166,0.997,3.662,-11.902,11.047
0.223,-0.137,1.000,4.822,-10.193,12.878
0.247,-0.101,0.996,6.287,-7.690,14.526
0.270,-0.062,0.987,7.690,-6.226,15.747
0.288,-0.026,0.982,8.972,-6.042,16.113
0.309,0.018,0.979,9.460,-6.592,15.442
0.324,0.049,0.978,9.033,-6.958,13.184
0.334,0.049,0.991,7.812,-7.263,9.338
0.332,0.039,1.004,6.653,-7.385,5.981
0.329,0.034,1.022,5.310,-6.775,3.723
0.327,0.032,1.030,5.615,-5.371,3.052
0.326,0.034,1.027,6.470,-3.662,3.174
0.323,0.042,1.019,7.446,-2.136,3.296
0.325,0.046,1.005,7.935,-0.854,3.723
0.327,0.053,0.991,8.179,0.183,3.662
0.325,0.066,0.977,8.240,1.221,2.808
0.322,0.068,0.966,8.484,1.038,1.343
0.307,0.062,0.958,8.667,-0.122,-0.549
0.289,0.052,0.954,8.179,-0.793,-2.563
0.273,0.048,0.953,7.080,-0.305,-4.150
0.254,0.039,0.949,6.409,0.183,-6.287
0.235,0.025,0.942,5.554,0.488,-8.789
0.213,0.009,0.937,4.150,1.526,-10.437
0.199,-0.008,0.932,3.357,2.747,-11.230
0.187,-0.025,0.924,3.174,3.479,-11.047
0.179,-0.028,0.918,2.747,3.479,-10.071
0.173,-0.027,0.915,2.319,2.930,-8.850
0.166,-0.032,0.917,2.075,1.831,-7.996
0.161,-0.042,0.920,2.380,1.038,-7.202
0.159,-0.050,0.922,2.563,0.610,-6.104
0.161,-0.057,0.923,2.747,0.183,-4.822
0.166,-0.061,0.921,2.991,-0.244,-3.723
0.173,-0.058,0.916,3.357,-0.854,-3.113
0.188,-0.044,0.907,3.418,-1.831,-2.563
0.202,-0.034,0.906,2.686,-3.235,-2.563
0.207,-0.032,0.915,1.404,-4.456,-3.174
0.209,-0.035,0.925,0.610,-5.615,-3.662
0.214,-0.032,0.934,0.122,-6.226,-4.089
0.215,-0.029,0.949,-0.061,-7.507,-4.272
0.217,-0.027,0.974,-0.305,-8.789,-4.395
0.219,-0.031,1.000,-0.549,-9.644,-4.395
0.224,-0.023,1.027,-0.610,-9.583,-3.784
0.240,-0.003,1.059,-0.732,-8.728,-3.113
0.259,0.017,1.092,-0.061,-7.874,-2.319
0.279,0.039,1.133,0.977,-7.385,-1.648
