aX,aY,aZ,gX,gY,gZ
0.122,0.607,0.636,4.578,13.306,-0.061
0.113,0.550,0.626,11.047,11.841,20.203
0.099,0.443,0.640,16.479,12.329,40.100
0.067,0.354,0.646,17.822,15.869,56.335
0.044,0.283,0.648,16.663,21.118,68.054
0.021,0.224,0.650,15.869,25.269,75.806
-0.006,0.202,0.631,14.893,29.419,80.811
0.013,0.146,0.688,15.198,36.194,85.205
0.027,0.075,0.769,19.897,41.443,86.548
0.013,-0.013,0.884,28.564,47.424,87.036
0.010,-0.085,0.981,38.147,49.011,87.891
0.018,-0.168,1.069,46.814,45.166,89.722
0.017,-0.295,1.165,54.626,38.940,91.125
-0.050,-0.499,1.325,59.875,32.715,93.018
-0.068,-0.648,1.439,56.396,26.794,91.248
-0.128,-0.761,1.472,44.617,22.522,83.557
-0.142,-0.811,1.435,32.471,16.235,71.289
-0.182,-0.828,1.414,26.489,9.277,56.274
-0.219,-0.854,1.443,24.109,0.061,42.236
-0.215,-0.877,1.447,21.667,-12.817,30.640
-0.233,-0.917,1.414,20.569,-21.729,21.179
-0.270,-0.935,1.360,16.846,-23.315,14.099
-0.307,-0.933,1.293,8.667,-24.292,8.118
-0.339,-0.934,1.216,1.343,-28.809,1.648
-0.361,-0.911,1.132,-4.211,-34.790,-6.531
-0.381,-0.868,1.047,-7.446,-40.771,-18.127
-0.390,-0.790,0.944,-8.972,-44.800,-31.311
-0.378,-0.708,0.872,-8.911,-47.607,-41.870
-0.367,-0.627,0.823,-6.836,-51.880,-51.453
-0.332,-0.524,0.749,-5.615,-52.917,-60.730
-0.297,-0.426,0.701,-5.554,-51.147,-66.956
-0.256,-0.329,0.659,-6.470,-47.302,-70.190
-0.241,-0.216,0.620,-8.606,-41.199,-71.899
-0.203,-0.105,0.584,-13.000,-32.776,-72.083

0.307,-0.718,1.926,56.763,137.878,-7.324
0.249,-0.688,1.833,5.066,81.543,-6.653
0.304,-0.717,1.556,-58.044,4.700,-0.122
0.455,-0.893,1.096,-114.075,-73.792,14.404
0.547,-1.025,0.640,-149.292,-130.798,28.259
0.585,-1.125,0.301,-145.081,-154.724,34.729
0.529,-1.213,0.030,-109.802,-144.165,32.776
0.392,-1.134,-0.125,-66.528,-106.323,25.208
0.346,-0.968,-0.136,-32.837,-54.749,12.146
0.320,-0.799,-0.005,-20.203,-5.920,-2.380
0.315,-0.667,0.220,-20.752,31.006,-11.658
0.424,-0.609,0.532,-22.644,52.063,-14.587
0.243,-0.545,0.606,-31.616,53.528,-3.235
0.165,-0.664,0.768,-27.344,42.969,5.493
0.270,-0.669,0.911,-32.898,29.053,8.667
0.307,-0.643,0.821,-62.256,7.629,15.076
0.230,-0.628,0.791,-90.698,-10.193,13.489
0.242,-0.391,0.430,-113.770,-24.048,15.503
0.264,-0.602,0.836,-128.540,-25.024,38.452
0.061,-0.824,0.757,-126.953,-23.193,32.654
0.138,-0.792,0.739,-143.799,-30.396,10.620
0.288,-0.711,0.563,-152.649,-34.790,-1.404
0.249,-0.758,0.494,-133.728,-22.949,-1.892
0.193,-0.819,0.475,-89.355,-1.526,-2.502
0.171,-0.813,0.493,-37.292,22.095,-4.578
0.151,-0.733,0.520,2.197,42.664,-6.104
0.151,-0.618,0.592,21.729,57.556,-11.047
0.119,-0.498,0.655,20.020,65.002,-15.991
0.111,-0.406,0.754,8.606,67.017,-20.325
0.134,-0.340,0.845,-7.812,62.073,-20.569
0.112,-0.322,0.882,-24.231,52.063,-16.418
0.127,-0.336,0.945,-37.720,41.565,-11.536
0.173,-0.382,1.034,-57.983,26.978,-4.150
0.197,-0.394,1.054,-87.036,7.080,6.653
0.196,-0.384,1.023,-109.436,-10.681,17.334
0.215,-0.378,0.998,-113.403,-20.386,23.437
0.228,-0.356,0.955,-106.812,-24.231,26.611
0.244,-0.320,0.952,-92.834,-22.522,28.564
0.229,-0.338,0.946,-73.914,-16.846,31.128
0.214,-0.391,0.930,-59.448,-15.076,35.950
0.245,-0.430,0.946,-54.260,-20.142,40.405
0.289,-0.465,0.949,-57.312,-26.733,42.969
0.306,-0.483,0.940,-62.927,-31.433,43.823
0.315,-0.479,0.929,-66.589,-33.142,41.870
0.296,-0.430,0.899,-67.200,-33.508,37.964
0.266,-0.381,0.880,-62.622,-31.982,35.217
0.225,-0.379,0.893,-57.251,-28.625,38.025
0.222,-0.458,0.924,-63.660,-28.625,45.288
0.181,-0.539,0.901,-86.548,-37.354,50.293
0.187,-0.599,0.886,-113.220,-47.180,50.293
0.197,-0.602,0.894,-133.789,-55.786,45.593
0.258,-0.512,0.890,-143.982,-60.181,37.720
0.249,-0.474,0.849,-139.221,-57.678,24.475
0.227,-0.338,0.883,-123.291,-47.241,10.437
0.270,-0.308,0.726,-95.215,-35.706,-1.892
0.247,-0.151,0.775,-70.679,-35.278,-6.958
0.176,0.047,0.842,-45.288,-38.208,-7.751
0.106,0.157,0.777,-9.155,-31.311,-4.395
0.060,0.174,0.836,27.649,-22.217,6.897
0.079,0.121,0.981,61.157,-10.254,23.743
0.047,0.042,1.020,86.121,-0.732,35.645
0.033,-0.064,1.031,94.849,5.676,42.358
0.066,-0.154,1.050,93.323,6.165,45.410
0.113,-0.208,1.010,88.318,3.357,43.640
0.167,-0.270,0.963,86.853,0.732,35.645
0.208,-0.267,0.955,91.003,0.305,23.987
0.251,-0.228,0.984,88.684,-0.366,15.869
0.238,-0.240,0.971,70.740,-3.357,10.681
0.157,-0.303,0.926,45.349,-8.362,11.047
0.110,-0.417,0.900,25.208,-13.550,21.057
0.098,-0.476,0.926,10.559,-17.029,30.212
0.111,-0.516,0.968,-1.465,-17.212,32.410
0.116,-0.564,0.930,-10.254,-13.000,26.733
0.136,-0.574,0.921,-15.625,-10.498,17.151
0.158,-0.537,0.950,-15.930,-11.902,6.897
0.142,-0.492,0.892,-10.376,-16.174,-3.235
0.124,-0.370,0.814,0.244,-22.400,-12.695
0.100,-0.295,0.783,10.742,-28.381,-19.348
0.050,-0.230,0.738,13.428,-33.936,-20.874
0.021,-0.225,0.688,19.653,-34.058,-15.259
0.021,-0.240,0.714,28.748,-29.663,-6.165
0.071,-0.321,0.719,29.236,-26.550,1.953
0.084,-0.319,0.893,16.785,-31.311,8.789
0.093,-0.303,0.991,10.803,-30.701,10.376
0.145,-0.228,0.977,4.456,-30.945,8.606
0.229,-0.204,1.005,-6.226,-34.424,3.601
0.144,-0.070,0.894,-17.273,-39.001,3.052
0.066,-0.083,0.846,-28.015,-42.786,0.854
0.009,-0.114,0.790,-37.231,-44.250,-1.282
-0.039,-0.195,0.692,-42.908,-43.091,-1.282
-0.066,-0.175,0.776,-44.128,-40.894,0.061
-0.028,-0.210,0.829,-29.114,-32.043,-0.427
0.052,-0.213,0.943,-8.789,-20.020,-2.319
0.135,-0.267,0.927,9.399,-10.071,-5.310
0.152,-0.219,0.964,20.264,-9.033,-8.911
0.112,-0.172,0.936,30.579,-12.268,-12.146
0.024,-0.131,0.875,44.495,-16.418,-15.808
-0.027,-0.139,0.884,53.894,-23.376,-19.348
-0.060,-0.165,0.853,50.049,-28.809,-21.240
-0.030,-0.159,0.803,39.612,-30.151,-20.447
-0.047,-0.175,0.824,29.114,-30.762,-17.090
-0.060,-0.168,0.851,19.104,-26.733,-14.282
-0.031,-0.197,0.854,13.550,-18.616,-14.160
-0.017,-0.210,0.849,9.827,-13.977,-14.099
-0.025,-0.224,0.842,5.127,-15.198,-13.367
-0.045,-0.263,0.843,-1.831,-17.517,-13.550
-0.039,-0.356,0.847,-10.376,-17.700,-13.123
-0.085,-0.407,0.849,-22.522,-15.686,-13.794
-0.125,-0.451,0.849,-33.020,-11.841,-18.555
-0.169,-0.493,0.874,-38.086,-7.019,-26.672
-0.229,-0.510,0.949,-38.879,-5.005,-35.278
-0.231,-0.510,0.990,-38.147,-5.676,-43.213
-0.199,-0.487,1.046,-39.063,-9.338,-49.194
-0.210,-0.411,1.060,-42.175,-15.015,-52.612
-0.301,-0.334,1.107,-42.786,-18.494,-55.664
-0.372,-0.321,1.128,-37.048,-22.949,-55.969
-0.399,-0.302,1.149,-35.950,-31.555,-50.537
-0.386,-0.287,1.179,-42.053,-39.124,-43.823
-0.375,-0.284,1.137,-49.500,-42.480,-39.795

2.142,-0.131,0.927,-54.932,191.040,6.653
2.042,-0.173,1.481,-37.170,237.793,-32.532
1.761,-0.146,2.038,-4.150,268.494,-93.201
1.349,0.052,2.413,22.827,267.395,-164.001
0.825,0.436,2.538,37.537,226.318,-228.455
0.219,0.897,2.340,44.800,155.823,-254.211
-0.355,1.096,1.885,65.125,80.261,-226.990
-0.610,0.994,1.460,94.116,6.958,-153.320
