aX,aY,aZ,gX,gY,gZ
0.088,0.248,1.872,-0.793,161.987,1.770
0.103,0.249,1.778,0.244,173.157,1.282
0.112,0.256,1.699,-0.977,181.580,-0.366
0.127,0.265,1.624,-2.502,188.538,-2.625
0.143,0.286,1.543,-4.028,195.129,-5.249
0.141,0.302,1.465,-6.042,200.134,-9.583
0.128,0.294,1.376,-7.812,204.224,-15.686
0.116,0.271,1.292,-9.705,207.214,-23.071
0.106,0.262,1.227,-11.169,208.191,-29.419
0.089,0.254,1.165,-10.315,206.726,-34.973
0.073,0.237,1.084,-7.019,203.796,-38.696

0.213,0.344,1.901,29.419,-222.900,25.635
0.267,0.255,1.823,25.574,-201.233,17.334
0.343,0.204,1.825,15.015,-182.007,7.568
0.361,0.186,1.928,3.296,-174.744,-1.465
0.344,0.133,2.057,-0.671,-172.852,-7.996
0.314,0.087,2.148,1.221,-170.288,-11.597
0.230,0.055,2.247,3.540,-168.518,-10.925
0.172,0.040,2.253,5.005,-157.166,-7.019
0.128,0.034,2.236,3.540,-141.479,-1.892
0.143,0.037,2.256,0.488,-121.887,2.808
0.128,0.073,2.294,-5.371,-105.408,6.653
0.079,0.095,2.383,-11.169,-93.872,9.644
0.019,0.077,2.512,-16.113,-83.252,9.949
-0.036,0.052,2.662,-20.813,-68.054,8.423
-0.075,0.046,2.765,-23.682,-44.617,8.484
-0.087,0.062,2.793,-22.278,-15.625,11.841
-0.089,0.082,2.756,-16.968,14.221,16.785
-0.062,0.098,2.673,-10.620,41.870,20.996
-0.028,0.119,2.569,-7.019,66.162,23.621
-0.006,0.158,2.459,-6.653,87.830,24.658
-0.002,0.195,2.357,-8.179,106.995,23.193
-0.002,0.192,2.264,-9.399,125.183,19.653
-0.025,0.181,2.159,-11.108,143.616,14.221
-0.065,0.173,2.050,-13.916,162.415,8.179
-0.090,0.171,1.947,-16.418,179.443,3.662
-0.109,0.202,1.845,-18.738,193.054,0.854
-0.120,0.245,1.781,-19.836,202.148,-1.648
-0.117,0.264,1.721,-17.273,207.397,-3.723
-0.108,0.257,1.644,-12.878,210.815,-6.226
-0.116,0.267,1.574,-10.193,213.989,-10.376
-0.129,0.298,1.514,-9.277,215.942,-15.747
-0.139,0.310,1.455,-7.629,217.041,-22.278
-0.158,0.315,1.383,-3.906,217.346,-29.724
-0.171,0.300,1.287,0.488,217.957,-36.621
-0.166,0.289,1.178,5.859,219.360,-41.687
-0.162,0.255,1.035,11.841,219.238,-45.044
-0.162,0.204,0.821,16.846,218.262,-49.133
-0.128,0.145,0.646,16.724,217.651,-54.626
-0.078,0.128,0.487,10.315,213.440,-59.631
-0.056,0.132,0.383,6.042,205.444,-63.477
-0.052,0.096,0.228,8.362,196.289,-65.247
-0.010,0.067,0.062,10.437,187.256,-64.758
0.035,0.057,-0.059,6.897,176.575,-64.148
0.049,0.058,-0.152,5.188,164.978,-65.125
0.044,0.032,-0.235,8.118,153.809,-66.589
0.032,-0.022,-0.317,14.160,144.470,-65.613
0.029,-0.057,-0.403,19.043,136.536,-61.462
0.052,-0.049,-0.475,20.752,126.404,-54.993
0.073,-0.020,-0.535,21.301,111.206,-48.340
0.089,0.008,-0.581,21.362,91.980,-44.739
0.071,0.017,-0.613,20.630,71.777,-45.227
0.052,-0.009,-0.643,18.494,54.138,-47.424
0.028,-0.027,-0.628,12.695,38.940,-49.255
-0.010,-0.045,-0.588,6.287,25.024,-49.805
-0.042,-0.077,-0.578,2.441,15.808,-48.462
-0.032,-0.091,-0.532,-0.977,9.399,-44.495
-0.035,-0.084,-0.517,-3.357,1.587,-38.513
-0.034,-0.090,-0.508,-5.371,-7.751,-33.630
-0.026,-0.103,-0.507,-7.996,-16.052,-29.419
-0.028,-0.100,-0.511,-12.390,-23.621,-26.428
-0.036,-0.104,-0.506,-16.418,-32.043,-24.536
-0.051,-0.129,-0.496,-17.334,-41.809,-22.583
-0.090,-0.162,-0.478,-17.273,-53.406,-19.104
-0.130,-0.190,-0.447,-20.081,-66.040,-13.977
-0.153,-0.200,-0.397,-26.367,-80.566,-8.301
-0.151,-0.194,-0.303,-33.936,-97.778,-2.991
-0.161,-0.180,-0.179,-39.917,-116.455,2.380
-0.148,-0.175,-0.050,-40.588,-132.935,9.033
-0.154,-0.173,0.064,-36.621,-149.048,15.076
-0.175,-0.172,0.163,-31.799,-163.757,20.142
-0.164,-0.131,0.264,-27.466,-176.636,24.963
-0.158,-0.079,0.393,-24.597,-191.406,27.954
-0.175,-0.052,0.554,-22.461,-207.764,27.283
-0.159,-0.087,0.725,-19.714,-218.201,25.513
-0.135,-0.159,0.874,-19.226,-224.365,24.719
-0.152,-0.214,1.052,-24.841,-228.394,23.071
-0.205,-0.240,1.210,-33.997,-228.394,21.057
-0.264,-0.274,1.375,-39.612,-222.656,19.165
-0.328,-0.286,1.506,-39.734,-218.079,18.311
-0.386,-0.252,1.636,-38.696,-219.910,22.827
-0.403,-0.189,1.766,-37.537,-224.426,34.424
-0.359,-0.089,1.880,-35.095,-225.281,49.805
-0.204,-0.011,1.976,-30.212,-220.642,64.697
-0.085,0.058,2.027,-24.170,-214.966,74.768
0.017,0.112,2.044,-21.240,-208.130,76.599
0.123,0.130,2.091,-23.926,-195.801,69.946
0.123,0.125,2.078,-29.297,-183.472,54.688
0.078,0.133,2.079,-33.569,-171.082,38.818
0.065,0.167,2.095,-35.583,-155.090,31.738
0.094,0.204,2.103,-32.349,-141.296,31.555
0.167,0.239,2.095,-25.208,-127.380,34.973
0.217,0.279,2.086,-17.029,-115.845,39.063
0.223,0.285,2.122,-10.193,-107.178,38.879
0.177,0.259,2.196,-5.981,-100.342,32.837
0.075,0.220,2.295,-6.348,-91.492,24.780
0.002,0.210,2.433,-12.085,-78.064,19.043
-0.044,0.213,2.575,-18.555,-60.852,16.479
-0.062,0.229,2.699,-21.973,-39.429,17.090
-0.065,0.266,2.763,-21.362,-14.465,20.386
-0.058,0.323,2.775,-17.212,11.536,24.658
-0.042,0.388,2.755,-9.827,35.217,27.344
-0.027,0.415,2.711,0.000,53.406,27.283
-0.019,0.393,2.632,9.705,70.129,24.841
-0.032,0.351,2.523,15.076,88.745,19.958
-0.064,0.297,2.404,14.465,109.680,12.817
-0.090,0.240,2.293,8.301,131.165,4.761
-0.113,0.171,2.211,-0.122,152.283,-1.282
-0.123,0.113,2.143,-8.423,171.326,-3.601
-0.136,0.099,2.087,-15.442,187.439,-3.357
-0.162,0.116,2.039,-19.409,199.768,-0.610
-0.192,0.151,1.994,-20.691,208.801,2.930
-0.212,0.177,1.941,-20.142,215.820,5.127
-0.209,0.188,1.905,-21.118,222.839,5.615
-0.198,0.203,1.897,-24.109,229.980,4.456
-0.166,0.207,1.887,-27.344,237.305,2.136
-0.144,0.227,1.849,-28.748,245.728,-1.770
-0.140,0.274,1.792,-29.419,252.380,-6.226
-0.137,0.300,1.699,-27.405,257.568,-13.428
-0.167,0.294,1.584,-23.926,259.766,-22.827

-0.085,0.268,2.677,20.203,-256.470,6.897
-0.007,0.318,2.830,34.119,-230.408,13.672
0.149,0.243,2.812,52.307,-199.341,15.808
0.204,0.114,2.731,60.120,-173.523,7.446
0.154,-0.040,2.697,49.683,-160.767,-7.141
0.094,-0.200,2.772,27.954,-145.874,-17.761
0.055,-0.251,2.878,4.883,-122.864,-15.930
0.067,-0.181,2.949,-10.254,-92.163,-3.296
0.095,-0.066,2.901,-15.320,-60.303,13.550
0.179,0.029,2.738,-14.099,-31.799,29.236
0.324,0.138,2.555,-13.550,-7.690,42.297
0.446,0.291,2.447,-14.954,7.874,50.781
0.519,0.411,2.400,-13.306,17.273,51.880
0.561,0.452,2.352,-7.080,27.405,46.265
0.552,0.446,2.262,-0.671,40.894,36.072
0.508,0.428,2.145,0.671,56.274,23.926
0.461,0.392,2.013,-2.625,75.012,12.512
0.421,0.342,1.883,-7.080,94.543,3.357
0.389,0.291,1.765,-10.254,110.962,-2.197
0.375,0.238,1.636,-11.597,122.742,-4.822
0.381,0.204,1.521,-12.695,131.104,-5.920
0.389,0.172,1.446,-13.916,135.742,-5.554
0.388,0.139,1.394,-14.465,136.719,-4.761
0.389,0.114,1.350,-14.099,136.230,-3.296
0.393,0.101,1.311,-15.259,136.536,-1.099
0.408,0.103,1.278,-18.127,138.000,0.732
0.421,0.107,1.245,-20.569,139.709,0.488
0.440,0.107,1.202,-21.118,140.198,-2.258
0.443,0.093,1.176,-22.278,137.878,-6.470
0.441,0.053,1.173,-24.841,133.728,-10.803
0.447,0.045,1.164,-28.992,130.920,-12.878
0.482,0.083,1.167,-34.668,129.639,-12.207
0.502,0.116,1.166,-38.025,128.357,-11.841
0.515,0.112,1.136,-37.292,128.113,-13.672
0.529,0.082,1.093,-36.072,129.639,-16.357
0.532,0.042,1.065,-39.001,131.836,-18.372
0.524,0.016,1.059,-45.654,136.047,-19.043
0.555,0.017,1.057,-51.819,142.395,-17.029
0.572,0.038,0.995,-53.467,148.071,-13.367
0.603,0.052,0.890,-52.063,152.588,-9.949
0.634,0.072,0.775,-52.979,153.198,-8.972
0.664,0.084,0.693,-57.983,148.010,-10.986
0.681,0.086,0.646,-64.148,140.808,-16.052
0.668,0.099,0.614,-70.251,133.545,-22.583
0.665,0.113,0.591,-73.853,128.540,-27.283
0.683,0.159,0.533,-73.425,126.404,-29.114
0.702,0.186,0.469,-69.702,124.329,-30.701
0.675,0.194,0.418,-65.186,118.896,-33.875
0.665,0.162,0.398,-62.744,112.915,-36.621
0.631,0.131,0.413,-63.171,107.056,-38.635
0.613,0.094,0.445,-65.735,101.196,-38.574
0.593,0.095,0.452,-70.557,96.802,-36.072
0.575,0.141,0.454,-77.271,94.849,-32.166
0.575,0.192,0.448,-81.055,93.872,-27.039
0.557,0.249,0.418,-78.796,91.980,-22.705
0.540,0.292,0.398,-72.510,87.341,-20.935
0.509,0.336,0.390,-64.880,80.872,-22.034
0.498,0.342,0.412,-57.129,72.998,-27.100
0.446,0.297,0.449,-50.903,64.636,-34.241
0.385,0.238,0.484,-49.011,60.181,-41.077
0.350,0.186,0.479,-51.941,63.599,-44.800
0.310,0.199,0.469,-61.646,69.946,-46.631
0.272,0.228,0.439,-72.144,73.853,-47.668
0.285,0.233,0.471,-75.928,76.477,-48.584
0.303,0.187,0.461,-72.571,76.233,-48.584
0.345,0.119,0.469,-64.392,72.388,-48.706
0.288,0.043,0.385,-57.617,67.871,-43.396
0.359,0.026,0.402,-53.711,68.604,-34.790
0.384,0.072,0.390,-51.880,68.909,-21.362
0.426,0.181,0.414,-48.279,56.824,-9.644
0.412,0.246,0.357,-37.048,44.556,-1.648
0.483,0.278,0.354,-19.043,46.753,2.197
0.519,0.269,0.298,-6.287,48.767,4.333
0.502,0.229,0.097,-2.197,51.514,1.343
0.553,0.212,0.042,-7.324,63.293,-4.761
0.602,0.153,-0.001,-19.104,67.017,-13.123
0.618,0.083,-0.058,-29.724,61.096,-22.888
0.509,0.018,-0.128,-37.964,51.331,-31.555
0.479,-0.054,-0.129,-44.067,47.729,-36.682
0.489,-0.111,-0.134,-50.964,41.504,-33.508
0.561,-0.111,-0.114,-55.298,35.034,-27.344
0.535,-0.093,-0.238,-53.589,28.259,-19.470
0.718,-0.029,-0.097,-43.457,28.137,-14.038
0.668,0.025,-0.140,-31.128,20.935,-8.728
0.687,0.075,-0.210,-18.066,15.320,-8.789
0.700,0.079,-0.211,-10.376,5.615,-10.681
0.700,0.063,-0.191,-7.141,-2.502,-15.686
0.659,0.038,-0.219,-8.789,-8.606,-19.226
0.615,0.025,-0.277,-17.151,-11.475,-19.592
0.653,0.031,-0.234,-31.555,-11.719,-16.907
0.651,0.074,-0.159,-43.579,-13.245,-14.221
0.610,0.105,-0.079,-45.288,-17.334,-13.550
0.592,0.103,-0.025,-37.537,-23.193,-13.428
0.616,0.072,0.026,-26.123,-31.494,-12.756
0.628,0.052,0.080,-14.465,-41.565,-11.963
0.631,0.033,0.109,-3.418,-49.561,-9.888
0.618,0.014,0.125,4.700,-51.575,-6.714
0.604,0.014,0.135,7.141,-46.997,-1.526
0.589,0.065,0.127,5.310,-35.889,6.958
0.572,0.160,0.097,1.648,-23.743,15.564
0.572,0.254,0.067,-0.671,-16.541,21.301
0.538,0.351,0.082,1.038,-17.700,22.583
0.456,0.401,0.125,10.315,-26.855,20.630
0.359,0.364,0.125,25.757,-39.063,17.151
0.338,0.302,0.146,38.696,-48.645,15.869
0.285,0.261,0.207,44.678,-55.359,15.259
