aX,aY,aZ,gX,gY,gZ
0.420,0.658,0.056,-96.619,63.599,-238.708
0.298,0.227,0.161,-107.971,51.025,-248.718
0.139,-0.247,0.430,-122.864,37.903,-254.089
-0.103,-0.729,0.766,-142.334,26.428,-257.812
-0.336,-1.177,1.086,-164.856,24.048,-257.385
-0.541,-1.547,1.259,-180.420,29.175,-248.230
-0.716,-1.859,1.320,-179.626,28.320,-226.501
-0.825,-2.044,1.455,-163.269,11.475,-192.017
-0.998,-2.305,1.482,-140.320,-19.714,-148.071
-1.023,-2.413,1.776,-115.417,-47.668,-96.008
-1.127,-2.428,1.927,-72.571,-64.758,-37.109
-1.103,-2.364,2.059,-41.077,-57.617,21.301
-1.066,-2.195,2.188,-33.203,-37.292,73.059
-1.005,-1.930,2.213,-35.156,-4.700,115.601
-0.860,-1.604,2.094,-39.368,36.865,149.841
-0.680,-1.209,1.914,-41.443,74.463,178.772
-0.456,-0.729,1.745,-39.490,100.098,204.224
-0.219,-0.196,1.619,-34.363,114.929,223.938
-0.021,0.369,1.503,-23.437,122.131,237.000
0.166,0.927,1.360,-5.005,124.634,243.652
0.342,1.368,1.248,11.414,131.104,244.812
0.511,1.681,1.143,17.822,148.376,239.807
0.657,1.944,1.012,9.644,177.368,226.990
0.817,2.268,0.792,-9.888,213.623,206.055
0.911,2.517,0.510,-24.231,238.220,174.622
0.944,2.682,0.096,-24.597,235.229,136.353
1.023,2.732,-0.278,-26.672,213.013,98.389
1.026,2.625,-0.523,-34.241,180.054,58.167
0.982,2.472,-0.696,-44.861,147.034,17.883
0.913,2.288,-0.822,-52.673,119.995,-17.395
0.812,2.044,-0.931,-55.664,94.666,-46.631
0.729,1.755,-0.975,-56.824,71.106,-69.763
0.640,1.481,-0.991,-57.983,44.922,-86.121
0.585,1.234,-1.022,-55.847,16.907,-97.046
0.512,1.006,-1.083,-50.110,-12.085,-105.713
0.417,0.787,-1.093,-47.668,-41.199,-112.183
0.351,0.562,-0.942,-52.979,-70.435,-115.479
0.272,0.296,-0.644,-67.871,-95.947,-119.568
0.209,0.037,-0.205,-95.093,-114.014,-125.549
0.156,-0.217,0.347,-122.498,-123.047,-131.958
0.016,-0.473,0.964,-137.390,-133.301,-137.512
-0.158,-0.751,1.591,-135.620,-143.372,-138.550
-0.382,-1.005,2.197,-124.268,-146.301,-133.606
-0.638,-1.227,2.785,-108.398,-140.503,-121.033
-0.791,-1.420,3.304,-85.083,-120.544,-98.816
-0.859,-1.713,3.547,-54.260,-83.374,-69.275
-0.762,-1.898,3.609,-19.043,-36.499,-33.813
-0.752,-1.932,3.280,27.222,7.507,5.615
-0.558,-1.815,2.742,63.965,51.575,53.711
-0.360,-1.515,2.206,86.853,82.520,101.013
-0.129,-1.069,1.680,104.370,100.098,143.494
0.076,-0.465,1.237,113.037,105.591,181.824
0.280,0.276,0.888,111.877,103.699,212.708
0.549,1.049,0.618,106.567,99.487,230.286
0.828,1.743,0.333,102.722,95.886,229.797
1.026,2.314,0.037,99.365,92.773,211.243
1.229,2.734,-0.254,93.262,91.125,183.167
1.456,2.993,-0.489,85.693,92.468,150.879
1.452,3.104,-0.911,74.219,91.492,114.136
1.549,3.201,-1.220,44.250,89.172,78.796
1.542,3.133,-1.394,6.348,70.007,42.236
1.498,3.047,-1.539,-27.771,44.128,1.892
1.308,2.935,-1.566,-56.763,8.423,-40.588
1.052,2.672,-1.498,-71.106,-31.189,-81.055
0.702,2.267,-1.382,-70.374,-73.242,-116.272
0.319,1.661,-1.100,-69.092,-113.037,-142.517

-0.763,-0.638,2.408,-158.386,-139.709,-106.689
-0.734,-0.884,2.712,-114.319,-143.860,-76.843
-0.596,-1.064,2.932,-71.045,-137.146,-46.082
-0.442,-1.174,2.932,-26.917,-121.094,-20.203
-0.263,-1.338,2.904,9.705,-102.722,-3.540
-0.245,-1.445,2.713,41.687,-88.318,5.310
-0.147,-1.540,2.505,64.636,-69.153,16.296
-0.071,-1.499,2.308,75.867,-48.218,32.532
0.017,-1.321,2.147,85.144,-31.006,52.490
0.142,-1.025,1.982,99.976,-17.883,78.735
0.330,-0.526,1.808,119.873,-7.629,106.873
0.541,0.038,1.634,144.653,-5.127,128.357
0.733,0.579,1.495,175.110,-7.629,140.320
0.936,1.060,1.306,204.773,-7.751,145.569
1.057,1.450,1.032,221.558,-4.883,141.235
1.099,1.779,0.746,216.003,-0.793,125.488
1.106,2.044,0.526,191.895,3.845,103.699
1.104,2.253,0.410,162.415,10.315,80.200
1.119,2.376,0.316,141.357,15.503,57.617
1.068,2.412,0.044,130.981,16.724,35.461
1.079,2.485,-0.169,115.356,13.550,15.869
1.026,2.439,-0.279,98.389,0.061,-6.592
0.893,2.299,-0.412,86.426,-16.296,-33.386
0.802,2.134,-0.573,72.083,-29.785,-58.838
0.721,1.974,-0.688,46.082,-40.588,-83.801
0.586,1.817,-0.687,14.160,-53.467,-111.816
0.458,1.595,-0.578,-12.756,-68.787,-137.390
0.350,1.322,-0.404,-31.494,-82.886,-156.616
0.208,1.035,-0.198,-42.480,-95.825,-169.434
0.110,0.731,0.025,-47.546,-105.103,-176.147
0.007,0.433,0.292,-51.331,-110.413,-178.650
-0.111,0.128,0.609,-54.749,-116.028,-179.810
-0.272,-0.199,0.965,-54.077,-122.803,-181.396
-0.478,-0.567,1.348,-50.293,-128.906,-182.556
-0.680,-0.965,1.756,-46.814,-128.784,-180.969
-0.856,-1.352,2.084,-46.021,-116.455,-175.232
-1.000,-1.687,2.301,-46.265,-89.600,-162.842
-1.061,-1.964,2.334,-40.649,-58.533,-141.052
-1.091,-2.265,2.378,-27.588,-33.813,-111.633
-1.202,-2.498,2.288,-2.502,-23.437,-74.829
-1.200,-2.607,2.167,23.071,-13.733,-28.442
-1.211,-2.551,2.070,34.790,-2.991,23.193
-1.190,-2.406,1.923,44.983,8.362,74.585
-1.143,-2.184,1.719,53.345,23.315,124.146
-1.065,-1.823,1.483,54.810,38.696,171.448
-0.926,-1.288,1.225,53.528,48.340,215.759
-0.739,-0.641,1.033,51.514,47.791,249.023
-0.536,0.062,0.972,49.561,36.682,268.005
-0.350,0.765,0.963,50.781,21.179,274.963
-0.124,1.369,0.944,54.443,9.949,269.470
0.161,1.871,0.863,54.688,9.338,253.601
0.475,2.330,0.798,50.110,13.611,230.469
0.796,2.730,0.883,45.959,14.893,201.843
0.972,2.850,0.667,49.255,10.132,169.434
1.278,3.192,0.536,37.964,10.498,136.963
1.465,3.316,0.534,22.095,3.540,95.581
1.517,3.306,0.406,20.264,-8.423,41.321
