Time,Sample,FFT,PSD
405.041404,194.000,85.795,0.014376
405.041441,210.000,125.651,0.030836
405.041479,230.000,67.374,0.008866
405.041516,247.000,144.836,0.040972
405.041571,272.000,135.994,0.036122
405.041608,289.000,53.668,0.005625
405.041646,306.000,62.323,0.007586
405.041684,322.000,132.995,0.034546
405.041721,337.000,65.436,0.008363
405.041759,354.000,192.721,0.072542
405.041796,376.000,211.664,0.087503
405.041834,390.000,20.356,0.000809
405.041871,409.000,186.524,0.067952
405.041909,426.000,87.796,0.015055
405.041947,445.000,106.717,0.022243
405.041984,462.000,258.922,0.130939
405.042022,479.000,101.604,0.020163
405.042059,494.000,68.300,0.009111
405.042097,507.000,180.084,0.063341
405.042134,527.000,134.128,0.035137
405.042172,546.000,48.122,0.004523
405.042209,560.000,80.701,0.012720
405.042266,590.000,42.777,0.003574
405.042304,610.000,102.686,0.020594
405.042341,627.000,144.690,0.040889
405.042379,643.000,119.950,0.028101
405.042416,656.000,124.912,0.030474
405.042454,676.000,84.733,0.014023
405.042491,697.000,90.167,0.015879
405.042529,714.000,49.966,0.004876
405.042583,739.000,50.055,0.004894
405.042621,760.000,177.650,0.061640
405.042659,769.000,240.462,0.112933
405.042696,751.000,115.295,0.025963
405.042734,733.000,137.865,0.037122
405.042771,712.000,170.965,0.057088
405.042809,697.000,86.282,0.014540
405.042846,682.000,298.429,0.173945
405.042884,664.000,176.084,0.060558
405.042922,645.000,111.059,0.024090
405.042959,624.000,98.585,0.018982
405.042997,612.000,111.749,0.024390
405.043034,595.000,86.410,0.014583
405.043072,579.000,141.542,0.039129
405.043109,561.000,38.722,0.002929
405.043147,546.000,73.604,0.010581
405.043185,524.000,137.089,0.036706
405.043222,505.000,28.146,0.001547
405.043279,484.000,79.410,0.012316
405.043316,463.000,69.236,0.009363
405.043354,445.000,36.247,0.002566
405.043391,430.000,30.484,0.001815
405.043429,410.000,90.757,0.016087
405.043466,393.000,11.927,0.000278
405.043504,373.000,10.029,0.000196
405.043541,362.000,78.280,0.011968
405.043589,338.000,54.540,0.005810
405.043627,315.000,161.242,0.050779
405.043664,299.000,169.389,0.056040
405.043702,285.000,98.421,0.018919
405.043739,267.000,135.481,0.035850
405.043777,249.000,194.727,0.074060
405.043815,233.000,87.945,0.015106
405.043852,215.000,106.150,0.022007
405.043890,202.000,51.386,0.005157
405.043927,183.000,203.858,0.081168
405.043965,163.000,146.419,0.041872
405.044002,144.000,83.942,0.013762
405.044040,125.000,80.485,0.012652
405.044078,108.000,132.402,0.034239
405.044115,94.000,19.993,0.000781
405.044153,76.000,149.578,0.043698
405.044190,54.000,42.519,0.003531
405.044228,44.000,125.108,0.030570
405.044291,16.000,176.724,0.060999
405.044329,0.000,25.786,0.001299
405.044366,11.000,204.080,0.081345
405.044403,32.000,31.118,0.001891
405.044441,48.000,133.588,0.034855
405.044478,64.000,28.292,0.001563
405.044516,80.000,29.698,0.001723
405.044553,104.000,156.275,0.047699
405.044608,121.000,112.493,0.024716
405.044646,142.000,139.881,0.038216
405.044683,156.000,110.763,0.023962
405.044721,178.000,60.904,0.007245
405.044758,194.000,365.726,0.261241
405.044796,211.000,265.096,0.137257
405.044833,227.000,212.453,0.088157
405.044871,244.000,61.415,0.007367
405.044909,260.000,95.691,0.017884
405.044946,277.000,56.638,0.006265
405.044984,297.000,128.823,0.032413
405.045021,318.000,61.867,0.007476
405.045059,335.000,231.149,0.104355
405.045096,353.000,60.719,0.007201
405.045134,365.000,57.828,0.006532
405.045171,385.000,90.242,0.015905
405.045209,403.000,85.558,0.014297
405.045273,429.000,138.447,0.037437
405.045311,451.000,76.321,0.011377
405.045348,464.000,91.869,0.016484
405.045386,487.000,34.856,0.002373
405.045423,502.000,78.891,0.012156
405.045461,521.000,nan,nan
405.045498,534.000,nan,nan
405.045536,553.000,nan,nan
405.045573,579.000,nan,nan
405.045628,596.000,nan,nan
405.045665,612.000,nan,nan
405.045703,632.000,nan,nan
405.045741,647.000,nan,nan
405.045778,660.000,nan,nan
405.045816,685.000,nan,nan
405.045853,703.000,nan,nan
405.045891,722.000,nan,nan
405.045928,743.000,nan,nan
405.045966,752.000,nan,nan
405.046003,770.000,nan,nan
405.046041,753.000,nan,nan
405.046079,732.000,nan,nan
405.046116,716.000,nan,nan
405.046154,699.000,nan,nan
405.046191,687.000,nan,nan
405.046229,669.000,nan,nan
405.046286,642.000,nan,nan
405.046324,619.000,nan,nan
405.046361,605.000,nan,nan
405.046399,588.000,nan,nan
405.046436,576.000,nan,nan
405.046474,553.000,nan,nan
405.046511,539.000,nan,nan
405.046549,518.000,nan,nan
405.046604,493.000,nan,nan
405.046641,476.000,nan,nan
405.046679,457.000,nan,nan
405.046716,440.000,nan,nan
405.046754,425.000,nan,nan
405.046791,404.000,nan,nan
405.046829,388.000,nan,nan
405.046867,366.000,nan,nan
405.046904,354.000,nan,nan
405.046942,349.000,nan,nan
405.046979,323.000,nan,nan
405.047017,300.000,nan,nan
405.047054,284.000,nan,nan
405.047092,266.000,nan,nan
405.047130,246.000,nan,nan
405.047167,231.000,nan,nan
405.047205,214.000,nan,nan
405.047242,200.000,nan,nan
405.047300,169.000,nan,nan
405.047337,152.000,nan,nan
405.047375,135.000,nan,nan
405.047412,119.000,nan,nan
405.047450,106.000,nan,nan
405.047487,89.000,nan,nan
405.047525,70.000,nan,nan
405.047562,50.000,nan,nan
405.047613,27.000,nan,nan
405.047650,3.000,nan,nan
405.047688,0.000,nan,nan
405.047725,12.000,nan,nan
405.047762,30.000,nan,nan
405.047800,52.000,nan,nan
405.047838,67.000,nan,nan
405.047875,85.000,nan,nan
405.047913,101.000,nan,nan
405.047950,121.000,nan,nan
405.047988,131.000,nan,nan
405.048025,151.000,nan,nan
405.048063,167.000,nan,nan
405.048101,187.000,nan,nan
405.048138,205.000,nan,nan
405.048176,226.000,nan,nan
405.048213,240.000,nan,nan
405.048251,262.000,nan,nan
405.048312,287.000,nan,nan
405.048350,309.000,nan,nan
405.048388,320.000,nan,nan
405.048425,339.000,nan,nan
405.048463,355.000,nan,nan
405.048500,370.000,nan,nan
405.048538,393.000,nan,nan
405.048575,411.000,nan,nan
405.048618,426.000,nan,nan
405.048656,442.000,nan,nan
405.048694,459.000,nan,nan
405.048731,479.000,nan,nan
405.048769,499.000,nan,nan
405.048806,521.000,nan,nan
405.048844,535.000,nan,nan
405.048881,549.000,nan,nan
405.048919,568.000,nan,nan
405.048956,586.000,nan,nan
405.048994,601.000,nan,nan
405.049032,617.000,nan,nan
405.049069,634.000,nan,nan
405.049107,651.000,nan,nan
405.049144,673.000,nan,nan
405.049182,691.000,nan,nan
