aX,aY,aZ,gX,gY,gZ
-0.465,-1.518,1.495,156.677,-406.738,185.120
-0.691,-1.469,1.585,190.613,-390.198,239.441
-0.913,-1.508,1.570,236.694,-352.539,284.546
-1.075,-1.583,1.710,272.095,-298.523,315.002
-1.123,-1.643,1.983,293.457,-252.502,337.158
-1.148,-1.737,2.277,306.213,-242.065,364.441
-1.227,-1.801,2.533,310.242,-270.142,399.475
-1.285,-1.788,2.762,301.575,-295.898,437.744
-1.323,-1.770,3.019,281.738,-273.926,471.497
-1.348,-1.793,3.087,254.211,-206.848,491.272
-1.398,-1.911,3.116,219.482,-132.080,497.192
-1.392,-1.910,3.027,176.147,-75.134,493.835
-1.502,-1.969,2.992,125.977,-36.621,488.159
-1.583,-1.980,2.846,67.505,-9.094,477.112
-1.530,-1.674,2.749,8.423,16.113,453.918
-1.361,-1.648,2.526,-35.950,60.547,439.758
-1.256,-1.667,2.333,-72.388,115.845,435.364
-1.136,-1.631,2.127,-107.483,179.016,440.674
-1.069,-1.617,1.967,-136.353,240.540,458.191
-1.078,-1.563,1.911,-163.330,290.344,482.971
-1.207,-1.656,2.017,-188.171,327.393,496.948
-1.470,-1.429,1.817,-207.886,338.928,475.281
-1.566,-0.955,1.395,-220.642,321.594,415.649
-1.480,-0.764,1.225,-229.492,317.261,354.858
-1.401,-0.671,1.045,-251.587,322.754,305.054
-1.384,-0.503,0.872,-293.213,312.256,264.954
-1.350,-0.292,0.774,-348.145,276.001,229.492
-1.314,-0.146,0.696,-417.664,217.468,184.448
-1.257,-0.003,0.647,-495.850,149.231,129.211
-1.211,0.078,0.574,-564.514,87.097,75.134
-1.201,0.112,0.479,-616.394,36.560,22.766
-1.101,0.073,0.475,-646.912,-0.549,-28.931
-1.014,-0.063,0.450,-653.137,-24.902,-75.195
-0.946,-0.194,0.399,-639.160,-42.664,-112.000
-0.911,-0.239,0.198,-611.084,-64.087,-142.944
-0.849,-0.336,-0.015,-574.463,-89.172,-168.640
-0.822,-0.326,-0.248,-536.926,-119.934,-190.430
-0.759,-0.364,-0.434,-493.774,-162.292,-206.177
-0.738,-0.477,-0.443,-446.655,-211.975,-212.341
-0.783,-0.549,-0.354,-398.926,-269.897,-211.670
-0.790,-0.512,-0.238,-349.365,-329.285,-216.003
-0.783,-0.600,-0.068,-297.546,-367.920,-229.980
-0.795,-0.738,0.037,-246.155,-373.840,-250.366
-0.689,-0.874,0.031,-191.284,-351.746,-267.761
-0.535,-1.030,-0.010,-135.498,-325.928,-275.391
-0.414,-1.179,0.012,-87.280,-318.054,-267.944
-0.316,-1.253,0.119,-54.199,-332.581,-247.192
-0.326,-1.274,0.168,-31.311,-371.887,-216.675
-0.361,-1.238,0.285,-17.395,-415.039,-179.199
-0.378,-1.216,0.340,-12.634,-445.862,-135.925
-0.348,-1.194,0.478,-8.118,-480.103,-89.172
-0.358,-1.176,0.630,4.150,-517.639,-37.292
-0.324,-1.214,0.745,32.288,-541.992,8.667
-0.429,-1.474,1.012,89.050,-536.072,39.368
-0.492,-1.654,1.188,168.274,-495.667,48.279
-0.414,-1.735,1.303,247.253,-434.753,52.124
-0.443,-1.754,1.452,296.021,-386.047,70.435
-0.648,-1.754,1.693,313.110,-372.925,110.229
-0.906,-1.706,1.885,318.726,-394.653,167.664
-1.148,-1.542,1.965,316.345,-419.434,223.999
-1.371,-1.393,2.053,302.429,-421.082,265.991
-1.525,-1.354,2.171,280.396,-398.315,288.208
-1.603,-1.347,2.287,265.503,-360.535,288.330
-1.568,-1.378,2.326,255.432,-314.026,278.809
-1.525,-1.443,2.409,232.788,-273.010,274.048
-1.452,-1.506,2.520,200.256,-238.892,285.828
-1.335,-1.571,2.635,166.626,-203.430,316.101
-1.312,-1.693,2.771,129.700,-163.452,360.229
-1.436,-1.838,2.879,93.079,-118.408,405.762
-1.604,-1.902,2.833,54.016,-71.045,428.284
-1.789,-1.603,2.665,10.376,-32.349,415.283
-1.830,-1.325,2.474,-31.128,8.118,388.550
-1.780,-1.231,2.342,-72.876,60.120,369.324
-1.658,-1.202,2.260,-118.164,103.943,352.600
-1.446,-1.145,2.195,-162.354,135.803,341.919
-1.330,-1.066,2.155,-199.951,171.265,339.172
-1.322,-1.057,2.155,-223.206,225.708,338.440
-1.486,-1.088,2.092,-234.314,285.095,331.238
-1.748,-0.851,1.767,-242.432,319.153,303.223
-1.966,-0.541,1.386,-249.329,337.402,261.902
-2.025,-0.286,1.136,-268.005,355.042,220.215
-1.980,0.024,0.877,-313.416,348.389,175.842
-1.826,0.380,0.652,-385.986,315.674,127.441

-1.510,0.447,0.618,-562.683,179.687,-1.953
-1.307,0.279,0.693,-610.901,108.826,-71.289
-1.112,0.091,0.754,-618.652,63.293,-122.375
-0.982,-0.055,0.691,-593.079,46.265,-155.640
-0.916,-0.149,0.496,-546.509,57.251,-181.641
-0.885,-0.221,0.216,-501.038,78.125,-200.195
-0.813,-0.335,-0.070,-466.370,83.191,-210.754
-0.805,-0.425,-0.319,-441.284,57.251,-213.562
-0.718,-0.449,-0.498,-422.119,5.859,-207.214
-0.613,-0.418,-0.518,-406.616,-54.626,-195.312
-0.587,-0.377,-0.471,-389.465,-113.953,-184.204
-0.572,-0.361,-0.410,-366.699,-162.354,-177.795
-0.516,-0.434,-0.306,-331.970,-195.251,-175.903
-0.485,-0.585,-0.153,-280.212,-213.074,-173.279
-0.434,-0.727,-0.089,-219.482,-216.064,-170.532
-0.296,-0.814,-0.074,-161.926,-210.632,-166.016
-0.181,-0.930,0.002,-109.680,-210.693,-155.701
-0.132,-0.991,0.090,-62.500,-215.454,-139.832
-0.135,-0.991,0.152,-24.902,-223.450,-119.202
-0.171,-0.987,0.169,2.502,-236.694,-95.398
-0.208,-0.977,0.188,25.818,-250.122,-71.838
-0.175,-0.985,0.214,50.171,-255.066,-46.692
-0.208,-1.000,0.267,76.538,-252.991,-18.127
-0.196,-1.011,0.336,104.675,-255.005,13.062
-0.170,-1.037,0.441,136.353,-272.034,51.086
-0.213,-1.104,0.667,173.767,-301.147,98.083
-0.308,-1.186,0.891,215.942,-329.956,140.991
-0.404,-1.182,1.075,250.366,-341.675,174.194
-0.474,-1.213,1.219,279.480,-340.271,204.041
-0.615,-1.207,1.333,301.697,-334.290,234.375
-0.775,-1.193,1.450,315.125,-327.637,261.902
-0.867,-1.150,1.603,320.923,-321.228,285.278
-0.969,-1.123,1.784,320.007,-313.110,305.420
-1.089,-1.178,1.997,312.866,-297.791,319.824
-1.189,-1.200,2.240,299.988,-277.893,325.745
-1.262,-1.153,2.404,284.607,-257.446,324.890
-1.256,-1.137,2.600,265.686,-228.394,323.181
-1.230,-1.124,2.768,243.469,-188.965,326.904
-1.227,-1.107,2.916,215.027,-146.606,336.243
-1.204,-1.091,3.089,179.810,-103.271,347.778
-1.237,-1.067,3.222,136.963,-56.091,356.873
