aX,aY,aZ,gX,gY,gZ
-1.013,-0.279,-0.849,-13.977,15.808,-3.174
-0.940,-0.251,-0.501,-39.124,75.012,-18.433
-0.884,-0.185,-0.171,-48.767,110.352,-30.396
-0.889,-0.121,0.088,-44.373,126.770,-38.940
-0.905,-0.073,0.308,-29.419,130.615,-45.227
-0.925,-0.037,0.492,-10.681,125.122,-51.575
-0.940,-0.011,0.622,7.080,111.450,-57.312
-0.948,0.004,0.689,22.888,89.661,-59.937
-0.969,0.012,0.709,33.569,62.561,-58.289
-0.984,0.019,0.689,36.499,36.072,-54.016
-0.995,0.048,0.621,31.006,15.686,-48.706
-0.996,0.094,0.536,19.714,2.380,-43.640
-0.987,0.155,0.440,8.362,-5.676,-38.452
-0.981,0.217,0.331,1.343,-12.390,-33.447
-0.966,0.254,0.227,-0.305,-19.836,-28.442
-0.949,0.252,0.144,2.686,-26.550,-21.301
-0.951,0.228,0.075,7.324,-30.457,-12.512
-0.955,0.208,0.023,10.254,-30.579,-4.028
-0.957,0.190,-0.019,11.414,-29.297,2.930
-0.946,0.155,-0.051,10.803,-27.527,8.972
-0.933,0.113,-0.057,8.728,-24.231,15.625
-0.938,0.085,-0.067,5.310,-18.188,23.560
-0.933,0.070,-0.027,0.916,-10.803,31.555
-0.937,0.049,-0.001,-2.502,-5.615,37.048
-0.937,0.027,0.013,-5.249,-1.587,42.053
-0.938,0.004,0.019,-7.446,-0.854,45.471
-0.947,-0.014,0.017,-8.606,-1.282,47.485
-0.953,-0.036,0.012,-7.996,-2.563,47.852
-0.962,-0.056,0.002,-5.432,-4.517,46.570
-0.969,-0.068,-0.019,-1.465,-5.310,43.884
-0.980,-0.080,-0.043,3.479,-4.944,40.161
-0.990,-0.091,-0.063,8.606,-3.967,36.133
-0.998,-0.106,-0.081,12.756,-1.099,32.593
-1.005,-0.124,-0.094,13.977,3.174,29.663
-1.010,-0.137,-0.115,12.573,9.644,26.733
-1.014,-0.130,-0.143,9.827,16.785,23.499
-1.009,-0.109,-0.174,6.653,24.170,19.653
-1.004,-0.111,-0.197,4.456,31.372,16.296
-1.014,-0.103,-0.188,2.258,38.391,12.634
-0.995,-0.113,-0.192,-0.671,49.805,9.949
-0.991,-0.124,-0.176,-4.211,61.768,9.399
-0.990,-0.134,-0.156,-6.409,71.228,8.301
-0.979,-0.141,-0.124,-7.019,80.078,6.287
-0.969,-0.144,-0.088,-6.165,89.600,4.395
-0.951,-0.144,-0.043,-4.089,96.252,2.869
-0.939,-0.135,-0.023,-0.549,98.267,2.014
-0.925,-0.119,-0.031,2.747,95.886,1.160
-0.917,-0.105,-0.067,4.395,91.125,0.793
-0.911,-0.104,-0.101,4.761,86.060,1.648
-0.898,-0.133,-0.120,3.662,85.022,2.441
-0.886,-0.158,-0.118,-1.038,91.248,2.197
-0.870,-0.165,-0.106,-10.437,104.187,0.916
-0.838,-0.162,-0.076,-22.339,118.713,-1.282
-0.794,-0.136,-0.041,-32.776,131.226,-4.211
-0.763,-0.097,-0.006,-39.063,140.442,-7.385
-0.729,-0.074,0.028,-40.222,145.142,-10.559
-0.687,-0.072,0.075,-36.743,147.705,-13.367
-0.644,-0.090,0.131,-31.311,153.137,-16.296
-0.599,-0.108,0.242,-26.001,159.851,-19.592
-0.562,-0.103,0.330,-20.874,166.016,-23.193
-0.551,-0.070,0.390,-16.479,170.837,-26.489
-0.545,-0.035,0.433,-11.108,169.800,-29.175
-0.521,-0.037,0.487,-2.502,163.025,-30.945
-0.502,-0.077,0.538,7.324,156.860,-31.799
-0.488,-0.107,0.578,12.634,154.968,-33.264
-0.461,-0.142,0.650,12.695,156.372,-35.706
-0.416,-0.161,0.738,8.240,162.292,-38.208
